"Land_system_names","Land_use","lon","lat","Landform_sha","F.eve","BIO1_Annual_Mean_Temperature","BIO10_Mean_Temperature_Warmest_Quarter","BIO11_Mean_Temperature_Coldest_Quarter","BIO12_Annual_Precipitation","BIO13_Precipitation_Wettest_Month","BIO14_Precipitation_Driest_Month","BIO15_Precipitation_Seasonality","BIO16_Precipitation_Wettest_Quarter","BIO17_Precipitation_Driest_Quarter","BIO18_Precipitation_Warmest_Quarter","BIO19_Precipitation_Coldest_Quarter","BIO2_Mean_Diurnal_Range","BIO3_Isothermality","BIO4_Temperature_Seasonality","BIO5_Max_Temperature_Warmest_Month","BIO6_Min_Temperature_Coldest_Month","BIO7_Temperature_Annual_Range","BIO8_Mean_Temperature_Wettest_Quarter","BIO9_Mean_Temperature_Driest_Quarter","Top_Rao","Cec_Rao","Clay_Rao","N_Rao","pH_Rao","Sand_Rao","Silt_Rao","Soc_Rao","Hyd_feat_Sha","TWI_Rao","C.hull","F.eDep","F.eRDC","F.rich","F.disp","F.div","F.dist","F.nMST","F.rao","Sp.rich","intensity_bi","intensity_ord","intensity_bi_N","intensity_ord_N"
"wetland",12,5063284,5281465,-2.45988174549026,-1.36411336803622,-1.65829477744518,-1.22337582730243,-1.78291657969654,-1.12478036485522,-0.897980639417812,-0.804613072202824,0.598147533786825,-0.937961745497577,-0.938671488700463,-0.234743497362624,-1.32867470716433,-1.12508418654753,-2.19974124567008,1.68704255104644,-1.2707277393287,-1.5997621576801,0.983604903852067,-0.12756542723971,-1.15617891754758,-2.07381208830075,0.0103016068486535,-2.40288332871149,-1.75897600007942,-1.94809541907932,-1.6379539616815,-1.85412826480087,-0.450968009330176,0.432626627680199,1.51269793017974,-1.78114431101463,1.21839056437655,0.578594434991818,-2.68941313334362,-1.88747824886567,-1.32872680520252,-1.84489605599161,1.8620107174844,-1.9610615749307,-1.99907779310318,"low","none","0","1"
"low-intensity forest",41,5066284,5280465,0.652061628272934,-0.687351119763992,-1.64375746368854,-1.21119486407161,-1.77152112975668,-1.19249171790934,-0.979693412803062,-0.844116303189992,0.581930136770136,-1.01512096679033,-0.973271246090543,-0.292742920576989,-1.37868156308091,-1.17299188165764,-2.21422369554932,1.68100698601043,-1.2617828724096,-1.58711740132746,0.974598715518666,-0.115485216268086,-1.14833921823377,-0.635965880162676,0.112766399284541,-1.38668354438182,-1.6439510480749,-1.77864212605373,0.408144427456251,0.922923403044406,0.609630340865713,1.6879842207526,1.41808154216837,1.81359858784303,-0.237974717056475,-0.453810454379861,1.36868856108047,0.86349346261264,0.998259665704982,0.998782020263554,-0.571754120030041,0.897073140825034,-0.388366516305353,"low","low","0","2"
"wetland",12,4974284,5278465,0.414096427693204,-3.16718277046658,-1.67897503920479,-1.19331053663729,-1.73872208313706,-1.31346873780742,-0.866373493624843,-0.920046822508369,0.908798016247477,-1.04609034352987,-1.02337143690144,-0.316022134105947,-1.54723755672675,-1.2895743428354,-2.32962374303383,1.65064149166772,-1.31044813387959,-1.55851135484121,0.877015030738869,-0.0977488152628244,-1.15702636017974,-0.39155221083776,-0.23957957863411,-2.34845492355493,-1.30054013878029,-1.91357421672342,0.238114277854029,0.292496912012127,0.921573629281745,1.64772350742989,1.85380343846492,-0.590350601519453,0.707868932306855,0.844327837269962,-1.24098879177919,-0.774805475486201,0.322747485801211,-0.281397762655109,-0.29282134762549,-1.19088536641532,-2.04586422112463,"low","none","0","1"
"shrub",80,5071284,5276465,0.170720021345871,-2.23619176145821,-1.67888557866076,-1.26208173418358,-1.78802033709554,-1.08449081270357,-0.858270366672401,-0.796431478920951,0.582835224822447,-0.902854134110729,-0.921642108478757,-0.208353635246913,-1.28180556779089,-1.17299188165764,-2.2265921309359,1.64125127536751,-1.31218525296243,-1.59204409039014,0.925536778266948,-0.165951186404394,-1.16669641702369,-0.423300396947516,-0.418329605330317,-1.38009172071725,-0.654864376581949,-1.38584730295762,-0.301121924165464,-0.791665441742375,0.486462673771702,0.311297128928227,-1.15863884073877,-0.971183812294008,1.0796200099709,0.718310633139249,-2.03893355741538,-1.45762064429685,-1.63745967928624,-1.21227507252452,0.720190638088658,-1.6188381598681,-1.62412152895047,"low","none","0","1"
"low-intensity forest",41,5098284,5267465,0.148699364713513,-2.72079968844472,-1.61467786736686,-1.1334952242459,-1.79261342675911,-1.08297281592699,-0.865120487834886,-0.828118590851547,0.585790173254597,-0.915123600208436,-0.93821953137619,-0.217576407909629,-1.24741143068721,-1.12966919611527,-2.2651681567848,1.8301758978967,-1.15395185352113,-1.60114050248338,1.11652789113968,-0.038428252567652,-1.13156724102615,-0.423202639647972,-0.792425745593285,-0.27615737967827,-0.460886758004475,-1.86548874668198,0.0837417610044262,-0.752638833338585,0.649442293858944,0.606393522698066,0.951219385425929,-0.131431083539085,1.49400260555965,0.134823137614656,-0.565311977971794,-0.504992675749897,-1.45386018839434,0.790714565694517,0.718368787801711,-0.539179975355579,-0.676362302055006,"low","low","0","2"
"low-intensity forest",41,4977284,5261465,0.918431173055537,0.903592898085998,-1.73575753899547,-1.16598910134292,-1.86264660763707,-1.30921906023287,-0.810575320208261,-0.942532521202594,1.02729456317544,-1.00684270907393,-1.02947871009731,-0.286520279073789,-1.620887778068,-1.13699979159448,-2.28794032863609,1.92048635385036,-1.2565455880106,-1.69901670814434,1.14886392036053,-0.0706533634377678,-1.20005592670139,0.00195809823099137,0.921232171438281,-1.71444674305131,-1.62761609047559,-1.57851675037008,0.22167808465887,0.299011330526046,0.66454103870976,1.16820207445632,2.36425829918868,-0.183099735771223,1.02835214686271,0.56770457813168,-1.78718292057667,-0.545379636804234,-0.559871182052316,-0.210375988869926,-0.138507349926534,-1.00183260641534,-1.86754763571284,"low","low","0","2"
"wetland",12,4978284,5261465,0.496785792763015,-2.41355070914873,-1.72268140982712,-1.14387857109388,-1.85189906333104,-1.35800525607075,-0.876811758170825,-0.965843944404112,1.0079081595506,-1.0646895868425,-1.05104755124376,-0.33000290485872,-1.65411895090879,-1.12918749497137,-2.29554149693992,1.93263286350294,-1.23914847003172,-1.69287772719756,1.15911844629053,-0.048725715759864,-1.19453685681338,-0.144386900626478,0.580833409578518,-0.79808046011595,-1.48054892046348,-1.51913648188618,-0.439974171504308,-0.802580210412406,-0.0491745778006023,1.70664253830656,3.28731848612483,2.10905435340543,-0.360331498352303,-0.860806160005494,1.56005718115065,1.24030629142815,1.4016958154471,0.863041418377384,-1.81020485764075,1.32686223761859,-0.485235493432962,"low","none","0","1"
"low-intensity forest",41,4979284,5259465,0.174043955176125,-4.04521936127885,-1.72777071336078,-1.15205438711279,-1.86023375125309,-1.36473907091214,-0.887151025072257,-0.971371174145071,1.0060075590572,-1.07348064579734,-1.05356763252769,-0.336611011320671,-1.66226078997523,-1.12055448135911,-2.28774884882387,1.9425559354588,-1.24345764346552,-1.698117066307,1.16217619249082,-0.0568339072470355,-1.19686446276448,-0.245001316732452,-0.301464354129502,-0.770610820841959,-0.994848736443506,-2.09871379148284,-0.191275329300726,-0.552549593083728,0.289891049157457,1.84974131015277,2.46620108438915,-0.181646527531279,0.995438187096391,0.387463380982775,-0.365346797370888,-0.644901002066039,-1.09943869391866,0.218580373480829,0.137601320362253,-0.876050172973888,-1.00858296995258,"low","low","0","2"
"wetland",12,4981284,5259465,0.364073927655433,-1.16296114506688,-1.78510488359919,-1.23686799815571,-1.88080272738051,-1.31932560011792,-0.857163702893658,-0.950106153023819,0.961002348278945,-1.03865914756794,-1.02879342996687,-0.310436216151307,-1.60346009423094,-1.17148179558023,-2.27204634373697,1.84267903094418,-1.32103674162858,-1.70736414767023,1.08916614678564,-0.140946000457461,-1.21857650385833,0.117068570592056,-0.489072447314396,0.283678625496668,-0.0774690537757633,-1.0311839857673,0.431262196659886,-1.01908203080258,1.02100049352072,0.420515065555196,0.272532463764349,0.593794087236997,-0.595155928062507,-0.126254439378185,0.671655280796412,-0.0977780835724916,-0.376375581533791,0.0353948162701872,-1.50915697712564,-0.11887720932619,-0.258828385015842,"low","none","0","1"
"low-intensity forest",41,4836284,5241465,-0.0674293576173498,-1.13008685185549,-1.56036050399946,-1.01587830147915,-1.68752618268269,-1.14833101021756,-1.08049059327546,-0.800592855724506,0.0156902576454834,-1.17005322003894,-0.898248994951678,-0.40920315922595,-1.10536337713889,-1.28897373727596,-2.36604436380442,1.79225529014587,-1.20825890344895,-1.54270435365976,0.967734220560111,0.0782158267166772,-1.08739142683771,-0.317043791304722,0.676847294830023,-0.855673336357865,-1.02667220681053,-1.55005045800839,-0.380713079450904,-1.62988090594782,0.494607825185881,1.77640252752755,1.71081307341335,-0.490101751330909,1.02011906489691,0.593201014356253,-2.08175957581207,-0.0647524140132885,0.517760517119055,-0.540855711865091,0.168397146999465,-0.287223174399362,-1.34849760428957,"low","low","0","2"
"low-intensity forest",41,4844284,5236465,-1.61343691451138,-2.37576460897367,-1.73000225436108,-1.27416329802312,-1.75304527490952,-1.06501476957962,-0.857145743544072,-0.767813547475047,0.283779194904114,-0.988699295175428,-0.883994531312793,-0.272882148418478,-1.1405909572796,-1.3480230526444,-2.33606558811085,1.53775303183128,-1.44231362127241,-1.57792823487881,0.758480609560307,-0.177932820145769,-1.15927462525487,0.340814681581359,0.0184565103663662,-0.72748633961841,-0.74666607902055,-2.04290580238779,0.326680858760802,0.689946557589915,0.826918188110403,-0.614662980246873,-0.39062936717588,-0.498491132470076,1.30679329242073,0.551526212695623,-0.608112308552359,-0.677123461473008,-0.886924763465369,0.459962119088,0.561041009486634,-0.774589485073782,-1.10459351101671,"low","low","0","2"
"wetland",12,4916284,5231465,1.02694414192093,-2.50419238504077,-1.86186687632294,-1.29254548675638,-1.98519648207671,-1.18283678623478,-0.665150740142729,-0.900318927443687,1.07119499735783,-0.884521003250304,-1.01086689430884,-0.194572897211937,-1.55214509863414,-1.16677069202764,-2.32352230651189,1.95529820372734,-1.41546869016611,-1.8369816478501,1.17841093642006,-0.196162964495612,-1.25888385756643,-1.14226642387962,-0.0556612670507453,-1.37884921951524,-0.486813255019859,-1.3730119095794,-0.756450770007267,-0.62183877454168,0.241132050693459,1.68401447542032,1.11400315113927,-1.0993272473353,2.11968469079074,1.55619984635954,-1.65532485073179,-0.650373713303252,-1.23335955691029,-0.207411841336607,0.599943835729794,-0.991331783236416,-1.57438248358006,"low","none","0","1"
"shrub",80,4927284,5222465,0.486613613166285,-3.33128637965016,-1.91590591361616,-1.37468698285879,-2.00013416221695,-1.16251794397527,-0.614981379500739,-0.91704589768992,1.13116667014689,-0.835619461721399,-1.00608384177475,-0.157814345797728,-1.57055852503289,-0.999019513013004,-2.16025617424795,1.88308352583904,-1.46225159999933,-1.89039458275338,1.2063691591748,-0.277625044598691,-1.28219744439981,-0.343816413788494,-0.774082682658457,-2.05537071229862,-0.830505285815564,-1.27021407446408,-0.93635860435899,-1.29170200351516,-0.0525192935519986,-0.967091577027735,-0.954529003786568,0.0479474821846416,0.889146185069853,0.414383354611231,-0.441396315133492,-0.527197031758174,-0.336693059064242,0.367333197368412,-0.760594288205723,-1.05077667214159,-2.14321497170899,"low","none","0","1"
"low-intensity forest",41,4943284,5221465,-0.193680274939403,-2.87018593067659,-1.80802662776775,-1.12348268034454,-2.03837340997233,-1.42195522639389,-0.886722384279614,-1.03601837674765,1.20274184344515,-1.08710124921658,-1.11945155874049,-0.346849413535108,-1.82482554670353,-0.999019513013004,-2.31704603375144,2.30510260580572,-1.22276777737439,-1.91963407361798,1.51872410713144,-0.0284985253039607,-1.25526750955922,0.103500332148804,0.388244533167687,-1.3727772525023,-1.45329168473735,-1.86428677079818,0.200286063240471,0.294342289597441,0.779586282876054,0.953641519803116,1.25758889519597,-0.476656566932565,1.30880125937416,0.841820450354371,-0.850836483018245,-0.561663815790502,0.940307352475222,0.595893489762903,-0.274385065737081,-1.05112070080627,-2.01517665587017,"low","low","0","2"
"wetland",12,4744284,5219465,0.0137170461910951,-3.0686301762943,-1.49520351823896,-1.2658156939258,-1.36624690926991,0.410318466831865,0.406334360715822,0.393723766121159,-0.176183375798596,0.263590670221273,0.199659658534801,0.0235771831307039,0.921335205818275,-1.6129415374318,-2.27510886024901,0.855363003309564,-1.52723536947662,-1.19552374565055,0.0878368834419433,-3.4950377065461,-0.157305970318401,0.807540105267304,2.55259501149705,-0.82919886808155,0.792492076624268,-0.26118081151945,-0.417644789728305,-0.0058906847773024,0.119503173064474,-0.499588652303984,-1.0497123874269,-1.79191152863157,1.67491667095269,1.09517975812659,-2.45065049254219,-1.16783706052557,-1.18996938245217,-1.56275659310557,1.50157239098246,-1.45582230741822,-1.86410871904451,"low","none","0","1"
"water body",11,4942284,5219465,-0.470019128947781,-4.81212149379939,-1.78204335138554,-1.08446150452452,-2.02005523271055,-1.48315290719203,-0.953877833062211,-1.06427189055751,1.21656220312827,-1.14865063535975,-1.14725024879658,-0.393115159037613,-1.88883587302706,-0.999019513013004,-2.32569163739473,2.32621876568496,-1.18375247978331,-1.90441783472939,1.53954456247921,0.0101998951192994,-1.24230799823671,0.0563792713030858,0.446942510003503,-1.7859110478447,-1.80910138203554,-1.47052072421087,-1.33036776239871,-1.56157828712192,0.990577250473334,1.69252834238365,1.9204231127311,-0.868873242253341,1.35715360456077,0.996143227866247,-0.762524723839146,-0.780457224857347,0.688870019310348,0.663836103784764,-0.211660024880514,-1.25512461165916,-2.21876039332517,"low","none","0","1"
"wetland",12,4965284,5218465,0.893322350861917,-3.64602956051372,-1.90951943560684,-1.28261591973818,-2.05569896465688,-1.26299834430206,-0.669144921561117,-0.978477476536257,1.29419436349197,-0.881349168350196,-1.05405280098119,-0.192188676743466,-1.72570396018272,-1.05687674248515,-2.28677404250704,2.11190474084792,-1.35779637712701,-1.90107023200989,1.33948370954089,-0.186315527789354,-1.29488851909194,-0.993505727448272,-0.510297253026267,-3.03203476377319,-1.13600881439866,-1.78351232320405,-1.83291360717888,-2.36793316621181,0.56284694936659,0.520566320054373,1.11709356494535,0.207765321807576,0.747225084594019,0.373389096047346,-0.288870035126472,-0.771612585581067,-2.24023676872238,0.368944057284862,0.107304277929562,-0.980278564062336,-1.27032265649616,"low","none","0","1"
"wetland",12,4952284,5216465,0.607089703257293,-2.52613121417481,-1.9262833336892,-1.30868708355871,-2.07653787442846,-1.08268316206894,-0.469613863694415,-0.89499303078637,1.26451925539744,-0.697761063872184,-0.969870777415977,-0.054188266807447,-1.56038743213926,-0.999019513013004,-2.25266626577149,2.11232218776643,-1.38490564363482,-1.94400448869431,1.37371721190858,-0.212171049496438,-1.30256707435076,-0.912186895082619,-0.59630189026872,-1.32601718507574,-1.03162529715903,-1.73538265261601,-0.134417317363622,-0.587869523788393,-0.00447765587901238,0.698150938214594,0.457897405918906,-0.773789177347191,0.71932770255729,0.905743641641494,-0.580592685412866,-0.621175728769505,-0.521844733851493,-0.0939615738051874,-0.735915007776121,-0.939482445250116,-1.4344040185269,"low","none","0","1"
"low-intensity forest",41,4943284,5215465,-0.371361074344635,0.0560978384950698,-1.78448363087455,-1.09749449340717,-2.01061599059202,-1.5686724219613,-1.05056768697347,-1.10491798131859,1.23831060796606,-1.23421564274913,-1.18396914920005,-0.457433084915692,-1.97006243694669,-0.999019513013004,-2.31949581486432,2.29135233059448,-1.19399897067938,-1.89047572396184,1.50707598250267,-0.00272529415431077,-1.24287533109812,-0.0322612102076932,0.683370581561904,0.202879605163187,0.991744871065833,-1.23122242010176,1.30270164580285,1.04468111073434,0.994031487742395,-0.523957989851669,0.132558062288998,-1.57971596604197,1.1463805278765,0.437496139028707,-2.64657087552296,-0.334321659703439,1.80405448829699,-1.2654424028151,1.52370154935231,-0.59789865218116,-1.6142654932864,"low","low","0","2"
"low-intensity forest",41,4950284,5214465,-0.0368617273946187,-1.70222845204759,-1.87533563539318,-1.23505892923432,-2.05081533944243,-1.26156220726673,-0.695570233394074,-0.981298781180373,1.24234129395616,-0.899872950277999,-1.05281281050238,-0.206112724311092,-1.69716998305041,-0.999019513013004,-2.27530188737286,2.16353611451262,-1.31768180886633,-1.91926335783655,1.41180921230217,-0.139151894866752,-1.28080136417012,-0.563852218971188,-0.127749576377303,-1.3507777560552,-0.387893354023419,-1.65860273638565,-0.358014689814716,-0.10846226569563,0.735956006784491,0.642099306715917,0.590905642201023,0.869425094541461,1.04533094767972,0.579678284503507,0.196395841732218,-0.419744095793145,-1.19443512558115,0.870947648322131,0.461820420143963,-0.504938630663989,-0.55424991057177,"low","low","0","2"
"wetland",12,4945284,5212465,0.240494718413171,-2.3725732629447,-1.74592123053716,-1.03925574179583,-1.99168316274271,-1.57157999236817,-1.050363652612,-1.1084679627464,1.25721426509474,-1.23223162422809,-1.18569177342779,-0.455941728109089,-1.97555542371176,-0.999019513013004,-2.34465626219186,2.34633523636832,-1.13810509811922,-1.87035994362679,1.53944015606205,0.0550317479496174,-1.22539594334462,-0.731633208544329,-0.17330823519542,-1.19796419579359,-1.30287339966621,-1.2033856653825,0.421059322422984,-0.229145316363301,0.156360886321872,1.19464525780076,1.15132221337207,-0.236806214320434,1.7401563939287,0.76937296067287,-1.6310423353161,-0.176334627460929,0.22638916449165,0.409985517310854,0.515609496096894,-0.41191395804224,-1.41355715642235,"low","none","0","1"
"low-intensity forest",41,4981284,5209465,0.126389106888193,-3.16742519285937,-1.77777410144841,-1.19176163481829,-1.90705280095473,-1.30570501874595,-0.76088716423592,-0.974146622815272,1.24759905949428,-0.939181383571194,-1.07843171961246,-0.235660280912469,-1.80060906379298,-1.17299188165764,-2.32072244614634,1.95656717997652,-1.24692661517876,-1.71027150654677,1.17658427806049,-0.0962127248573915,-1.53952717290654,-0.525075077845018,-0.13773242584439,-2.52386314504926,-1.44218829557729,-2.56390154374041,-1.02105708873877,-1.48855964825841,-0.165816319537391,0.304029951699604,0.675818184096399,0.797721799113945,1.33635215231081,0.565637851626074,0.507922617193874,-0.535603532851417,-1.58308541223273,1.69468865548012,-0.389997624242601,-0.897558853568275,-1.74403647558905,"low","low","0","2"
"wetland",12,5000284,5198465,-0.665646230163665,-1.68197715527969,-1.67138084574708,-1.15681172841399,-1.80091064192167,-1.16581713090236,-0.709351168353968,-0.891279330852603,1.11416739535361,-0.844343592462189,-1.00630982043688,-0.164372143330349,-1.68926389391847,-1.40506537208723,-2.51546244395086,1.80129824051637,-1.19833386870781,-1.55798619928754,1.00185151404608,-0.0615518992065794,-1.48041201895084,-1.17386557232479,1.27346959696882,-1.20421498825755,-1.28958044925977,-1.61132439287121,-0.398187732751905,-1.03580237051186,-0.076514271479188,-1.43535615442717,-0.0311455100223001,-0.187091675084709,0.751143751078807,0.206622185288882,-0.442660923368181,-0.281944843876717,1.12627163513346,0.279487957983001,0.461073414692088,-0.431927608339664,-0.87131485005185,"low","none","0","1"
